Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_1405,25,2308.25,98731500,0.313351,38.630666643969,16.5478,5000.00215647877,566.0983125,212.684379394302,5558.94242929886,5370.55694351203,1,NaN,Inf,Inf
Disp_1406,28,1625.84,52942900,0.387024,21.0831898636956,16.6234,4999.9993136252,446.5857312,285.938540367123,2181.88287403069,2136.58920673724,1,NaN,Inf,Inf
Disp_1407,42,2082.78,94587600,0.371446,25.2494460338988,13.9183,5000.00238148086,858.1470156,492.095828806871,4796.3134497828,4754.87362996865,1,NaN,Inf,Inf
Disp_1408,17,2336.09,43167300,0.297049,21.198771455487,14.6018,5000.00144917378,389.5897293,248.712299263415,1916.38662248146,1817.0132538696,1,75,3233.41394393276,1.89894497394562
Disp_1409,47,1647.09,98374900,0.386882,22.3567421200051,13.6055,5000.00047402713,759.4237863,470.560057659793,3979.47675422155,3946.6025809943,1,NaN,Inf,Inf
Disp_141,27,2236.67,48682300,0.324479,20.6121630603994,16.2405,4999.99955480504,592.4267829,383.868649538234,2600.09446118269,2557.06351008768,0,NaN,Inf,Inf
Disp_1410,7,2069.82,93701600,0.338958,28.069719095134,17.4975,5000.00072937761,142.1345394,75.2537558420797,1608.54835502569,876.103621154738,1,-25,902.408380388996,0.0874146819114685
Disp_1411,15,2261.21,72642200,0.364408,23.2729933091528,16.0662,4999.9992224592,332.7370515,201.268468690528,2129.28606249471,1902.73765260076,1,50,2300.06824231765,0.617673099040985
Disp_1412,43,1910.44,56864600,0.320232,41.0030926215966,13.3881,5000.0001123285,805.8809052,277.142633032344,5815.64614010041,5787.7898146044,1,40,1351.73866009346,0.048480149358511
Disp_1413,16,1918.65,42867600,0.39516,30.6954592303656,14.8247,5000.00332390655,301.151304,147.421160804698,2187.64760188561,2049.77894768055,1,0,1331.17680204122,0.131776615977287
Disp_1414,28,1912.65,86893700,0.31888,37.8375962421903,13.6607,5000.00435086194,525.366702,203.093420488284,4953.92849910962,4824.98371515342,1,NaN,Inf,Inf
Disp_1415,38,1805.58,92262900,0.327379,22.1823848098533,14.1493,5000.00205366711,673.0841124,418.957088861735,3604.21113956139,3554.49746864128,1,NaN,Inf,Inf
Disp_1416,41,1881.26,42830200,0.354716,39.0806474061353,16.3519,4999.99446145638,756.6615846,279.651793997229,4793.52649482101,4773.46677405823,1,-50,1563.92552568642,0.12366408854723
Disp_1417,31,1923.29,71323000,0.369302,26.3499188576137,12.1244,5000.00467396235,584.8917219,325.286311662766,3513.51666907375,3453.82734356055,0,NaN,Inf,Inf
Disp_1418,39,1707.6,95818900,0.382356,21.3987191578649,12.9616,5000.00399010015,653.310684,414.946380302036,3410.66681062229,3364.40041904349,1,NaN,Inf,Inf
Disp_1419,29,1949.62,63693000,0.303924,38.9223482470417,15.4947,5000.00272594213,554.6473938,206.180981467725,4680.2889710561,4599.83445586377,0,NaN,Inf,Inf
Disp_142,30,1843.8,61308400,0.358237,22.6366329668652,14.7332,4999.99776370123,542.63034,333.77978311623,2793.24372932026,2744.26935176267,1,NaN,Inf,Inf
Disp_1420,40,1897.04,86210300,0.381048,36.8401134841846,14.7373,5000.00022893578,744.398496,298.069028272705,5877.49850802005,5825.15512257544,0,NaN,Inf,Inf
Disp_1421,16,1921.21,50586200,0.260626,26.0299260102831,14.3753,4999.99743599848,301.5531216,169.219388758695,2043.62945437573,1877.30936516493,1,70,2559.84789659191,0.981251239776611
Disp_1422,14,1626.49,35800300,0.300925,34.979209561421,17.8964,5000.00376501672,223.3821366,95.3218130222977,1963.83175037131,1786.22614174364,1,30,1879.30252338947,0.485967069864273
Disp_1423,24,2016.27,38436800,0.349756,29.1997368689264,17.7373,4999.9991101788,474.7106088,243.12035607004,2751.33482840583,2700.48589793448,1,NaN,Inf,Inf
Disp_1424,11,1981.56,89267000,0.302821,30.5547478644361,19.4182,4999.99963647264,213.8301396,105.1271410471,2292.1105787347,1705.41573874325,1,40,1580.69258287023,0.27529564499855
Disp_1425,5,1995.39,54098400,0.335705,32.2586875649925,12.3399,5000.00437198403,97.8738795,45.6344064284499,1248.7941750352,577.332835171869,1,10,462.005112474306,0.0397810637950897
Disp_1426,11,1951.84,48258100,0.301172,26.3519542002157,16.4496,4999.99730528464,210.6230544,117.130867955877,1587.26321245281,1307.39689130891,1,45,1398.48796803109,0.485967069864273
Disp_1427,8,1943.88,57906700,0.269742,34.1633045875509,17.3029,4999.99974784678,152.5557024,66.8875055212576,1821.66117245863,1195.17429245485,1,-15,1100.28131012237,0.140177801251411
Disp_1428,48,2292.14,42072800,0.384099,29.4380177661152,14.7964,5000.00223101477,1079.3228832,548.855409081846,4881.23016657056,4870.21142060265,1,NaN,Inf,Inf
Disp_1429,6,2045.36,83911900,0.382361,26.897981777028,12.2908,5000.00018481433,120.3898896,65.9251067654274,1313.16096205406,658.193326891908,1,-10,556.237487602794,0.0397810637950897
Disp_143,8,1786.5,57557500,0.39344,33.9430423204964,18.4678,4999.99903073234,140.20452,61.9187350199694,1657.44117079136,1092.46580751101,1,-20,1087.14704730846,0.115840002894402
Disp_1430,40,2305.79,87353800,0.369524,38.0730097529403,17.547,5000.0004037967,904.791996,346.838343649979,6868.79840292058,6817.68433940483,0,NaN,Inf,Inf
Disp_1431,32,1771.74,51459400,0.286979,27.0808873038519,14.0968,5000.00230603482,556.1846208,302.982726168195,3203.3155261461,3162.03546019488,1,NaN,Inf,Inf
Disp_1432,7,1772.99,83788000,0.343869,33.9145459086925,19.7304,4999.99933562385,121.7512233,53.8194209409341,1761.88480714319,928.682163122411,1,-15,874.634339649587,0.0749075263738632
Disp_1433,50,1885.36,93272600,0.250503,41.1581104098885,16.1875,5000.00532235644,924.76908,316.142311277844,7876.88250408228,7834.83532083354,1,NaN,Inf,Inf
Disp_1434,50,1980.46,92165000,0.369091,31.0485320522417,13.8118,5000.00286153991,971.41563,470.394468972429,6189.34967052456,6158.36427005905,1,NaN,Inf,Inf
